"key","sender","senderID","senderPlace","senderPlaceID","senderDate","addressee","addresseeID","addresseePlace","addresseePlaceID","addresseeDate","note","edition","page","source","sourceID","provenance","extent"
"II:78","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1788-02-19","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:79","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1788-07-08","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:80","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1788-10-01","Artaria & Co.","2030321-X","Wien","http://www.geonames.org/2761369",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:81","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1788-10-01","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,"DE-611-HS-1836 ",,
"II:82","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1788-11-24","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,"DE-611-HS-1837 ",,
"II:83","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","[..1788-12-13]",,,,,,"Schenkungsvermerk","Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:84","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139","1789-02-05","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:85","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1789-03-14","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,"DE-611-HS-1792 ",,
"II:86","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1789-03-14","[Johann Friedrich Hering]",1078280185,"Berlin","http://www.geonames.org/2950159",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:87","Johann Gottlob Immanuel Breitkopf",118809873,"Bückeburg","http://www.geonames.org/2942159","1789-03-18?","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159",,"verschollen","Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:88","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1789-03-27","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:89","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1789-04-02","[Johann Friedrich Hering]",1078280185,"Berlin","http://www.geonames.org/2950159",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:90","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1789-05-19","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,"DE-611-HS-1840 ",,
"II:91","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1789-07-11","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,"DE-611-HS-1841 ",,
"II:92","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1789-09-05","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,"DE-611-HS-1842 ",,
"II:93","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139","1789-09-12?","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159",,"verschollen","Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:94","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1789-09-29","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,"DE-611-HS-1843 ",,
"II:95","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139","1789-11-20?","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159",,"verschollen","Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:96","Christoph Gottlob Breitkopf",120691124,"Leipzig","http://www.geonames.org/2879139","1791-02-05?","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159",,"verschollen","Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"II:97","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1791-02-16","Christoph Gottlob Breitkopf",120691124,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,"DE-611-HS-1844 ",,
"II:99","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1792-09-24","Johann Gottlob Immanuel Breitkopf",118809873,"Leipzig","http://www.geonames.org/2879139",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,"DE-611-HS-1845 ",,
