key,sender,senderID,senderPlace,senderPlaceID,senderDate,addressee,addresseeID,addresseePlace,addresseePlaceID,addresseeDate,note,edition,page,source,sourceID,provenance,extent
50,Johann Elias Bach,116216026,,,1740-06-?14,Johann Georg Hille,133817571,Glaucha,http://www.geonames.org/2920020,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",140,D-LEb,,,305-306
51,Johann Elias Bach,116216026,,,1740-06-14,Simon Friedrich von Meyern,,Halle,http://www.geonames.org/2911522,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",141,D-LEb,,,306
52,Johann Elias Bach,116216026,,,1740-08-23,Friedrich Adam Segnitz,120257726,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",141-142,D-LEb,,,306-307
53,Johann Elias Bach,116216026,,,1740-08-23,Anna Margaretha Bach,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",142-143,D-LEb,,,308-309
54,Johann Elias Bach,116216026,,,1740-09-02,Simon Friedrich von Meyern,,Halle,http://www.geonames.org/2911522,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",143-144,D-LEb,,,310
55,Johann Elias Bach,116216026,,,1740-09,Sabina Magdalena Hacker,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",144-145,D-LEb,,,311-312
56,Johann Elias Bach,116216026,,,1740-10-04,Johann Andreas Schüßler,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",145-147,D-LEb,,,314-315
57,Johann Elias Bach,116216026,,,1740-10-04,Sabina Magdalena Hacker,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",147,D-LEb,,,315-316
58,Johann Elias Bach,116216026,,,1740-10-10,Simon Friedrich von Meyern,,Halle,http://www.geonames.org/2911522,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",147-148,D-LEb,,,316-317
59,Johann Elias Bach,116216026,,,1741-01-02,Johann Wilhelm Koch,13390637X,Ronneburg,http://www.geonames.org/2845229,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",149-150,D-LEb,,,319-320
60,Johann Elias Bach,116216026,,,1741-01-28,Döring,,Collm,http://www.geonames.org/2939919,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",150-152,D-LEb,,,322-324
61,Johann Elias Bach,116216026,,,1741-01-28,Johann Wilhelm Koch,13390637X,Ronneburg,http://www.geonames.org/2845229,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",152-153,D-LEb,,,324-326
